Time,Temperature,Wind_Speed,Visibility,Wind_Direction,Sky_Conditions
10:05,29.0,8.0,1.9,SW,Fog
10:28,29.0,8.0,2.3,W,Fog
10:28,29.0,8.0,2.3,W,Fog
10:28,29.0,8.0,2.3,W,Fog
10:28,29.0,8.0,2.3,W,Fog
10:28,29.0,8.0,2.3,W,Fog
10:40,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
10:52,29.0,8.0,2.3,W,Fog
11:04,29.0,8.0,2.3,W,Fog
11:04,29.0,8.0,2.3,W,Fog
11:16,30.0,11.0,2.3,W,Fog
11:16,30.0,11.0,2.3,W,Fog
11:27,31.0,11.0,2.3,W,Fog
11:39,31.0,11.0,2.3,WNW,Fog
11:39,31.0,11.0,2.3,WNW,Fog
11:39,31.0,11.0,2.3,WNW,Fog
11:51,31.0,11.0,2.3,WNW,Fog
11:51,31.0,11.0,2.3,WNW,Fog
12:14,31.0,11.0,1.9,NW,Fog
12:14,31.0,11.0,1.9,NW,Fog
12:14,31.0,11.0,1.9,NW,Fog
12:14,31.0,11.0,1.9,NW,Fog
12:37,31.0,11.0,1.9,NW,Fog
12:37,31.0,11.0,1.9,NW,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
12:49,31.0,11.0,1.8,ESE,Fog
14:11,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:23,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:34,29.0,10.0,1.5,ESE,Fog
14:47,29.0,14.0,2.3,WSW,Fog
14:47,29.0,14.0,2.3,WSW,Fog
14:47,29.0,14.0,2.3,WSW,Fog
14:47,29.0,14.0,2.3,WSW,Fog
15:56,29.0,13.0,2.3,WSW,Fog
16:08,29.0,13.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:20,29.0,11.0,2.3,WSW,Fog
16:31,29.0,11.0,2.3,WSW,Fog
16:31,29.0,11.0,2.3,WSW,Fog
16:31,29.0,11.0,2.3,WSW,Fog
16:43,29.0,11.0,2.3,WSW,Fog
16:43,29.0,11.0,2.3,WSW,Fog
16:43,29.0,11.0,2.3,WSW,Fog
16:43,29.0,11.0,2.3,WSW,Fog
16:54,29.0,11.0,2.3,WSW,Fog
17:06,29.0,11.0,2.3,WSW,Fog
17:06,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
17:41,29.0,11.0,2.3,WSW,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
19:04,28.0,13.0,2.3,W,Fog
13:08,29.0,11.0,2.4,W,Fog
