Time,Temperature,Wind_Speed,Visibility,Wind_Direction,Sky_Conditions
11:26,28.89,17.6,8.0,WNW,Mostly Cloudy
12:02,29.44,17.6,8.0,NW,Mostly Cloudy
12:48,30.56,22.4,8.0,WNW,Partly Cloudy
13:11,30.56,22.4,8.0,WNW,Partly Cloudy
13:23,30.56,22.4,8.0,WNW,Partly Cloudy
13:23,30.56,22.4,8.0,WNW,Partly Cloudy
13:23,30.56,22.4,8.0,WNW,Partly Cloudy
13:23,30.56,22.4,8.0,WNW,Partly Cloudy
13:34,30.56,22.4,8.0,WNW,Partly Cloudy
13:34,30.56,22.4,8.0,WNW,Partly Cloudy
13:34,30.56,22.4,8.0,WNW,Partly Cloudy
13:34,30.56,22.4,8.0,WNW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:45,30.56,22.4,8.0,NW,Partly Cloudy
13:56,30.56,22.4,8.0,NW,Partly Cloudy
13:56,30.56,22.4,8.0,NW,Partly Cloudy
13:56,30.56,22.4,8.0,NW,Partly Cloudy
13:56,30.56,22.4,8.0,NW,Partly Cloudy
14:08,30.56,22.4,8.0,NW,Partly Cloudy
14:08,30.56,22.4,8.0,NW,Partly Cloudy
14:08,30.56,22.4,8.0,NW,Partly Cloudy
14:08,30.56,22.4,8.0,NW,Partly Cloudy
14:19,30.56,17.6,8.0,WNW,Partly Cloudy
14:19,30.56,17.6,8.0,WNW,Partly Cloudy
14:19,30.56,17.6,8.0,WNW,Partly Cloudy
